단어,up,down,total,prob_up,prob_down,polarity_score
테러/NNG,44,109,152,1.3023292158024628e-05,4.4634685573209686e-05,0.291775151785574
보너스/NNG,27,50,76,7.991565642424203e-06,2.0474626409729213e-05,0.390315578047702
회사채/NNG;신용스프레드/NNG;확대/NNG,12,14,25,3.5518069521885345e-06,5.73289539472418e-06,0.6195485365836539
교차/NNG,45,46,90,1.3319276070707004e-05,1.883665629695088e-05,0.7070934384922136
가수요/NNG,32,45,76,9.471485205836092e-06,1.842716376875629e-05,0.5139958229434758
수입/NNG;증가/NNG,25,28,52,7.399597817059448e-06,1.146579078944836e-05,0.6453630589413062
뒤따르/VV,43,42,84,1.2727308245342247e-05,1.719868618417254e-05,0.7400163075860311
주택가격/NNG,1006,989,1994,0.0002977598161584,0.0004049881103844,0.7352310068456506
회사채/NNG,14977,16248,31224,0.0044329510602439,0.0066534345981056,0.6662650687971207
배분/NNG,89,103,191,2.6342568228731632e-05,4.217773040404218e-05,0.6245610651967903
기본형/NNG,5,16,20,1.4799195634118894e-06,6.5518804511133485e-06,0.2258770706294571
기간스프레드/NNG,188,223,410,5.5644975584287045e-05,9.13168337873923e-05,0.6093616398685265
나타/NNG,40,39,78,1.1839356507295117e-05,1.597020859958879e-05,0.7413401292453977
테이퍼링/NNG,178,218,395,5.2685136457463264e-05,8.926937114641937e-05,0.5901815570208202
성장/NNG;하방/NNG;위험/NNG,18,36,53,5.327710428282802e-06,1.4741731015005034e-05,0.3614033130071314
유인/NNG,357,374,730,0.0001056662568276,0.0001531502055447,0.6899517793772509
좌파/NNG,44,57,100,1.3023292158024628e-05,2.3341074107091305e-05,0.55795599201101
바이러스/NNG,4,19,22,1.1839356507295115e-06,7.780358035697102e-06,0.1521698160030027
경기/NNG;부진/NNG;우려/NNG,6,14,19,1.7759034760942673e-06,5.73289539472418e-06,0.3097742682918269
장기물/NNG;금리/NNG;하락/NNG,11,17,27,3.255823039506157e-06,6.961372979307933e-06,0.4676984050680524
상당부분/NNG,409,451,859,0.000121057420287,0.0001846811302157,0.655494257294531
경제/NNG;완만/NNG;성장/NNG,8,13,20,2.367871301459023e-06,5.323402866529596e-06,0.4448040775472386
패닉/NNG,34,54,87,1.0063453031200847e-05,2.2112596522507552e-05,0.4551004682312025
앞당긴/VV,7,11,17,2.0718873887766454e-06,4.504417810140428e-06,0.4599678529181673
노동시장/NNG;개선/NNG,12,13,24,3.5518069521885345e-06,5.323402866529596e-06,0.667206116320858
산식/NNG,28,32,59,8.287549555106581e-06,1.3103760902226695e-05,0.6324557977624801
봉차트/NNG,25,42,66,7.399597817059448e-06,1.719868618417254e-05,0.4302420392942042
관리목표/NNG,23,42,64,6.8076299916946914e-06,1.719868618417254e-05,0.3958226761506678
신원/NNG,11,13,23,3.255823039506157e-06,5.323402866529596e-06,0.6116056066274532
페소/NNG,408,468,875,0.0001207614363744,0.000191642503195,0.6301391098585881
전미경제학회/NNG,2,36,37,5.919678253647558e-07,1.4741731015005034e-05,0.040155923667459
손상차손/NNG,23,26,48,6.8076299916946914e-06,1.0646805733059192e-05,0.6394058614741556
만일/MAG,122,127,248,3.61100373472501e-05,5.2005551080712206e-05,0.6943496722341738
실효/NNG,126,249,374,3.7293972997979615e-05,0.0001019636395204,0.3657575697903499
엄마/NNG,11,11,21,3.255823039506157e-06,4.504417810140428e-06,0.7228066260142628
crs/NNG;금리/NNG;하락/NNG,7,15,21,2.0718873887766454e-06,6.142387922918765e-06,0.337309758806656
불안/NNG,2609,2642,5250,0.0007722220281883,0.00108187925949,0.713778382767302
신용위험/NNG;높/VA,3,15,17,8.879517380471336e-07,6.142387922918765e-06,0.1445613252028525
채권분석/NNG,217,205,421,6.4228509052076e-05,8.394596827988978e-05,0.7651172577809514
국도/NNG,33,38,70,9.76746911851847e-06,1.5560716071394204e-05,0.6277004910123862
신흥국/NNG;통화/NNG;강세/NNG,17,18,34,5.031726515600424e-06,7.370865507502517e-06,0.6826507023468038
한참/MAG,22,25,46,6.511646079012314e-06,1.0237313204864608e-05,0.6360698308925514
생년월일/NNG,7,22,28,2.0718873887766454e-06,9.008835620280857e-06,0.2299839264590836
신용/NNG;경계/NNG,20,22,41,5.9196782536475576e-06,9.008835620280857e-06,0.657096932740239
공단채/NNG,5,18,22,1.4799195634118894e-06,7.370865507502517e-06,0.2007796183372952
리뉴얼/NNG,16,17,32,4.735742602918046e-06,6.961372979307933e-06,0.6802885891898944
출하/NNG,120,123,242,3.551806952188535e-05,5.036758096793387e-05,0.705177196111476
지탱/NNG,47,45,91,1.391124389607176e-05,1.842716376875629e-05,0.7549313649482302
찾아온/VV,6,12,17,1.7759034760942673e-06,4.913910338335011e-06,0.3614033130071314
꼬리/NNG,6,14,19,1.7759034760942673e-06,5.73289539472418e-06,0.3097742682918269
일반기업/NNG,43,69,111,1.2727308245342247e-05,2.8254984445426315e-05,0.4504447089654102
부작용/NNG;우려/NNG,12,31,42,3.5518069521885345e-06,1.2694268374032111e-05,0.2797961132958437
특혜/NNG,13,17,29,3.847790864870912e-06,6.961372979307933e-06,0.5527344787167892
나타날지/VV,10,13,22,2.9598391268237788e-06,5.323402866529596e-06,0.5560050969340483
적시/NNG,34,37,70,1.0063453031200847e-05,1.515122354319962e-05,0.6642006833644577
원자재/NNG;가격/NNG;하락/NNG,28,31,58,8.287549555106581e-06,1.2694268374032111e-05,0.652857597690302
구조적/VAX,654,696,1349,0.0001935734788942,0.0002850067996234,0.6791889847892644
수출입은행/NNG,83,92,174,2.4566664752637364e-05,3.767331259390176e-05,0.6520972821650415
오퍼레이션/NNG,11,28,38,3.255823039506157e-06,1.146579078944836e-05,0.2839597459341747
도내/NNG,8,13,20,2.367871301459023e-06,5.323402866529596e-06,0.4448040775472386
들어와/VV,28,42,69,8.287549555106581e-06,1.719868618417254e-05,0.4818710840095087
저금리/NNG,870,941,1810,0.0002575060040336,0.0003853324690311,0.6682696754860878
여력/NNG;축소/NNG,15,17,31,4.439758690235668e-06,6.961372979307933e-06,0.637770552365526
국가산업단지/NNG,9,11,19,2.663855214141401e-06,4.504417810140428e-06,0.5913872394662151
금융리스/NNG,4,16,19,1.1839356507295115e-06,6.5518804511133485e-06,0.1807016565035657
금융안정/NNG,451,616,1066,0.0001334887446197,0.0002522473973678,0.5291977083318711
함수/NNG,14,35,48,4.143774777553291e-06,1.433223848681045e-05,0.2891226504057052
